ano,indicador_codigo,indicador_nome,tema,tijucas,santa_catarina,diferenca_tijucas_sc,unidade,fonte,comparabilidade,grupo_exibicao,observacao_metodologica
2021,perc_escolas_banheiro_acessivel,Escolas com banheiro acessível,Acessibilidade,48.6,60.4,-11.8,%,Censo Escolar/INEP,comparável,comparavel_sc,Banheiro acessível foi mantido como proxy de acessibilidade por ser mais simples e estável do que outras medidas mais específicas nesta primeira versão comparativa. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2022,perc_escolas_internet,Escolas com internet,Tecnologia e conectividade,97.4,98.0,-0.6,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2022,perc_escolas_refeitorio,Escolas com refeitório,Infraestrutura básica,73.7,73.5,0.2,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2022,perc_escolas_biblioteca_ou_sala_leitura,Escolas com biblioteca ou sala de leitura,Infraestrutura pedagógica,39.5,56.1,-16.6,%,Censo Escolar/INEP,comparável,comparavel_sc,"Para este indicador, considera-se presença quando existe biblioteca, sala de leitura ou a variável combinada de biblioteca/sala de leitura. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024."
2022,perc_escolas_laboratorio_informatica,Escolas com laboratório de informática,Infraestrutura pedagógica,21.1,38.8,-17.7,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2022,perc_escolas_quadra_esportes,Escolas com quadra de esportes,Infraestrutura pedagógica,39.5,44.7,-5.2,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2022,perc_escolas_banheiro_acessivel,Escolas com banheiro acessível,Acessibilidade,55.3,63.0,-7.7,%,Censo Escolar/INEP,comparável,comparavel_sc,Banheiro acessível foi mantido como proxy de acessibilidade por ser mais simples e estável do que outras medidas mais específicas nesta primeira versão comparativa. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2023,perc_escolas_internet,Escolas com internet,Tecnologia e conectividade,100.0,99.2,0.8,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2023,perc_escolas_refeitorio,Escolas com refeitório,Infraestrutura básica,64.1,78.3,-14.2,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2023,perc_escolas_biblioteca_ou_sala_leitura,Escolas com biblioteca ou sala de leitura,Infraestrutura pedagógica,43.6,58.3,-14.7,%,Censo Escolar/INEP,comparável,comparavel_sc,"Para este indicador, considera-se presença quando existe biblioteca, sala de leitura ou a variável combinada de biblioteca/sala de leitura. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024."
2023,perc_escolas_laboratorio_informatica,Escolas com laboratório de informática,Infraestrutura pedagógica,23.1,38.6,-15.5,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2023,perc_escolas_quadra_esportes,Escolas com quadra de esportes,Infraestrutura pedagógica,38.5,48.6,-10.1,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2023,perc_escolas_banheiro_acessivel,Escolas com banheiro acessível,Acessibilidade,51.3,67.3,-16.0,%,Censo Escolar/INEP,comparável,comparavel_sc,Banheiro acessível foi mantido como proxy de acessibilidade por ser mais simples e estável do que outras medidas mais específicas nesta primeira versão comparativa. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2024,perc_escolas_internet,Escolas com internet,Tecnologia e conectividade,100.0,99.6,0.4,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2024,perc_escolas_refeitorio,Escolas com refeitório,Infraestrutura básica,80.5,78.8,1.7,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2024,perc_escolas_biblioteca_ou_sala_leitura,Escolas com biblioteca ou sala de leitura,Infraestrutura pedagógica,48.8,58.5,-9.7,%,Censo Escolar/INEP,comparável,comparavel_sc,"Para este indicador, considera-se presença quando existe biblioteca, sala de leitura ou a variável combinada de biblioteca/sala de leitura. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024."
2024,perc_escolas_laboratorio_informatica,Escolas com laboratório de informática,Infraestrutura pedagógica,24.4,36.7,-12.3,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2024,perc_escolas_quadra_esportes,Escolas com quadra de esportes,Infraestrutura pedagógica,34.1,48.7,-14.6,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2024,perc_escolas_banheiro_acessivel,Escolas com banheiro acessível,Acessibilidade,65.8,68.9,-3.1,%,Censo Escolar/INEP,comparável,comparavel_sc,Banheiro acessível foi mantido como proxy de acessibilidade por ser mais simples e estável do que outras medidas mais específicas nesta primeira versão comparativa. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
